season,matchweek,home_club,away_club,final_score,goal_club,goal_scorer,minute
1995-1996,17,Leeds,Wimbledon FC,1:1,Wimbledon FC,Oyvind Leonhardsen,4
1995-1996,17,Leeds,Wimbledon FC,1:1,Leeds,Richard Jobson,76
1995-1996,17,Spurs,QPR,1:0,Spurs,Teddy Sheringham,3
1995-1996,17,Man Utd,Sheff Wed,2:2,Man Utd,Eric Cantona,17
1995-1996,17,Man Utd,Sheff Wed,2:2,Sheff Wed,Mark Bright,59
1995-1996,17,Man Utd,Sheff Wed,2:2,Sheff Wed,Guy Whittingham,78
1995-1996,17,Man Utd,Sheff Wed,2:2,Man Utd,Eric Cantona,84
1995-1996,17,Nottm Forest,Aston Villa,1:1,Aston Villa,Dwight Yorke,47
1995-1996,17,Nottm Forest,Aston Villa,1:1,Nottm Forest,Steve Stone,83
1995-1996,17,Everton,West Ham,3:0,Everton,Graham Stuart,34
1995-1996,17,Everton,West Ham,3:0,Everton,David Unsworth,43
1995-1996,17,Everton,West Ham,3:0,Everton,John Ebbrell,69
1995-1996,18,QPR,Bolton,2:1,QPR,Simon Osborn,41
1995-1996,18,QPR,Bolton,2:1,Bolton,Scott Sellars,44
1995-1996,18,QPR,Bolton,2:1,QPR,Andy Impey,75
1995-1996,18,Arsenal,Chelsea,1:1,Chelsea,John Spencer,26
1995-1996,18,Arsenal,Chelsea,1:1,Arsenal,Lee Dixon,88
1995-1996,18,Aston Villa,Coventry,4:1,Aston Villa,Tommy Johnson,12
1995-1996,18,Aston Villa,Coventry,4:1,Aston Villa,Savo Milosevic,48
1995-1996,18,Aston Villa,Coventry,4:1,Coventry,Dion Dublin,54
1995-1996,18,Aston Villa,Coventry,4:1,Aston Villa,Savo Milosevic,63
1995-1996,18,Aston Villa,Coventry,4:1,Aston Villa,Savo Milosevic,80
1995-1996,18,Newcastle,Everton,1:0,Newcastle,Les Ferdinand,18
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,Marc Degryse,5
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,Guy Whittingham,18
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,Marc Degryse,25
1995-1996,18,Sheff Wed,Leeds,6:2,Leeds,Tomas Brolin,28
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,Mark Bright,67
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,David Hirst,72
1995-1996,18,Sheff Wed,Leeds,6:2,Leeds,Rod Wallace,84
1995-1996,18,Sheff Wed,Leeds,6:2,Sheff Wed,David Hirst,86
1995-1996,18,Blackburn,Middlesbrough,1:0,Blackburn,Alan Shearer,41
1995-1996,18,West Ham,Southampton,2:1,Southampton,Ian Bishop,22
1995-1996,18,West Ham,Southampton,2:1,West Ham,Tony Cottee,80
1995-1996,18,West Ham,Southampton,2:1,West Ham,Iain Dowie,83
1995-1996,18,Wimbledon FC,Spurs,0:1,Spurs,Ruel Fox,85
1995-1996,18,Liverpool,Man Utd,2:0,Liverpool,Robbie Fowler,45
1995-1996,18,Liverpool,Man Utd,2:0,Liverpool,Robbie Fowler,87
1995-1996,18,Man City,Nottm Forest,1:1,Man City,Uwe Rosler,16
1995-1996,18,Man City,Nottm Forest,1:1,Nottm Forest,Kevin Campbell,69
1995-1996,19,Coventry,Everton,2:1,Coventry,David Busst,48
1995-1996,19,Coventry,Everton,2:1,Everton,Paul Rideout,67
1995-1996,19,Coventry,Everton,2:1,Coventry,Noel Whelan,84
1995-1996,19,Liverpool,Arsenal,3:1,Arsenal,Ian Wright,7
1995-1996,19,Liverpool,Arsenal,3:1,Liverpool,Robbie Fowler,40
1995-1996,19,Liverpool,Arsenal,3:1,Liverpool,Robbie Fowler,65
1995-1996,19,Liverpool,Arsenal,3:1,Liverpool,Robbie Fowler,80
1995-1996,19,Man City,Chelsea,0:1,Chelsea,Gavin Peacock,76
1995-1996,19,Middlesbrough,West Ham,4:2,Middlesbrough,Jan Aage Fjortoft,20
1995-1996,19,Middlesbrough,West Ham,4:2,Middlesbrough,Neil Cox,21
1995-1996,19,Middlesbrough,West Ham,4:2,Middlesbrough,Chris Morris,28
1995-1996,19,Middlesbrough,West Ham,4:2,West Ham,Tony Cottee,80
1995-1996,19,Middlesbrough,West Ham,4:2,Middlesbrough,John Hendrie,82
1995-1996,19,Middlesbrough,West Ham,4:2,West Ham,Julian Dicks,86
1995-1996,19,Newcastle,Nottm Forest,3:1,Newcastle,Rob Lee,11
1995-1996,19,Newcastle,Nottm Forest,3:1,Nottm Forest,Ian Woan,15
1995-1996,19,Newcastle,Nottm Forest,3:1,Newcastle,David Ginola,25
1995-1996,19,Newcastle,Nottm Forest,3:1,Newcastle,Rob Lee,74
1995-1996,19,QPR,Aston Villa,1:0,QPR,Kevin Gallen,54
1995-1996,19,Sheff Wed,Southampton,2:2,Southampton,Neil Heaney,7
1995-1996,19,Sheff Wed,Southampton,2:2,Sheff Wed,David Hirst,14
1995-1996,19,Sheff Wed,Southampton,2:2,Sheff Wed,David Hirst,50
1995-1996,19,Sheff Wed,Southampton,2:2,Southampton,Jim Magilton,80
1995-1996,19,Spurs,Bolton,2:2,Spurs,Teddy Sheringham,54
1995-1996,19,Spurs,Bolton,2:2,Spurs,Chris Armstrong,71
1995-1996,19,Spurs,Bolton,2:2,Bolton,Scott Green,77
1995-1996,19,Spurs,Bolton,2:2,Bolton,Gudni Bergsson,79
1995-1996,19,Wimbledon FC,Blackburn,1:1,Blackburn,Alan Kimble,27
1995-1996,19,Wimbledon FC,Blackburn,1:1,Wimbledon FC,Robbie Earle,80
1995-1996,19,Leeds,Man Utd,3:1,Leeds,Gary McAllister,6
1995-1996,19,Leeds,Man Utd,3:1,Man Utd,Andy Cole,29
1995-1996,19,Leeds,Man Utd,3:1,Leeds,Anthony Yeboah,35
1995-1996,19,Leeds,Man Utd,3:1,Leeds,Brian Deane,73
1995-1996,20,Nottm Forest,Sheff Wed,1:0,Nottm Forest,Jason Lee,6
1995-1996,20,Arsenal,QPR,3:0,Arsenal,Ian Wright,44
1995-1996,20,Arsenal,QPR,3:0,Arsenal,Paul Merson,61
1995-1996,20,Arsenal,QPR,3:0,Arsenal,Paul Merson,83
1995-1996,20,Blackburn,Man City,2:0,Blackburn,Alan Shearer,11
1995-1996,20,Blackburn,Man City,2:0,Blackburn,David Batty,50
1995-1996,20,Chelsea,Wimbledon FC,1:2,Chelsea,Dan Petrescu,10
1995-1996,20,Chelsea,Wimbledon FC,1:2,Wimbledon FC,Robbie Earle,33
1995-1996,20,Chelsea,Wimbledon FC,1:2,Wimbledon FC,Efan Ekoku,38
1995-1996,20,Everton,Middlesbrough,4:0,Everton,Craig Short,10
1995-1996,20,Everton,Middlesbrough,4:0,Everton,Graham Stuart,45
1995-1996,20,Everton,Middlesbrough,4:0,Everton,Graham Stuart,60
1995-1996,20,Everton,Middlesbrough,4:0,Everton,Andrey Kanchelskis,68
1995-1996,20,Man Utd,Newcastle,2:0,Man Utd,Andy Cole,6
1995-1996,20,Man Utd,Newcastle,2:0,Man Utd,Roy Keane,53
1995-1996,20,Bolton,Leeds,0:2,Leeds,Tomas Brolin,40
1995-1996,20,Bolton,Leeds,0:2,Leeds,David Wetherall,63
1995-1996,20,Aston Villa,Liverpool,0:2,Liverpool,Stan Collymore,62
1995-1996,20,Aston Villa,Liverpool,0:2,Liverpool,Robbie Fowler,65
1995-1996,20,West Ham,Coventry,3:2,West Ham,Marc Rieper,46
1995-1996,20,West Ham,Coventry,3:2,West Ham,Tony Cottee,60
1995-1996,20,West Ham,Coventry,3:2,Coventry,Dion Dublin,64
1995-1996,20,West Ham,Coventry,3:2,Coventry,Noel Whelan,82
1995-1996,20,West Ham,Coventry,3:2,West Ham,Iain Dowie,86
1995-1996,21,Arsenal,Wimbledon FC,1:3,Arsenal,Ian Wright,28
1995-1996,21,Arsenal,Wimbledon FC,1:3,Wimbledon FC,Robbie Earle,39
1995-1996,21,Arsenal,Wimbledon FC,1:3,Wimbledon FC,Dean Holdsworth,50
1995-1996,21,Arsenal,Wimbledon FC,1:3,Wimbledon FC,Robbie Earle,67
1995-1996,21,Blackburn,Spurs,2:1,Blackburn,Nicky Marker,31
1995-1996,21,Blackburn,Spurs,2:1,Blackburn,Alan Shearer,40
1995-1996,21,Blackburn,Spurs,2:1,Spurs,Teddy Sheringham,53
1995-1996,21,Bolton,Coventry,1:2,Bolton,John McGinlay,16
1995-1996,21,Bolton,Coventry,1:2,Coventry,Noel Whelan,44
1995-1996,21,Bolton,Coventry,1:2,Coventry,John Salako,90
1995-1996,21,Chelsea,Liverpool,2:2,Chelsea,John Spencer,9
1995-1996,21,Chelsea,Liverpool,2:2,Liverpool,Steve McManaman,33
1995-1996,21,Chelsea,Liverpool,2:2,Chelsea,John Spencer,45
1995-1996,21,Chelsea,Liverpool,2:2,Liverpool,Steve McManaman,76
1995-1996,21,Everton,Leeds,2:0,Everton,David Wetherall,6
1995-1996,21,Everton,Leeds,2:0,Everton,Andrey Kanchelskis,51
1995-1996,21,Man Utd,QPR,2:1,Man Utd,Andy Cole,44
1995-1996,21,Man Utd,QPR,2:1,Man Utd,Ryan Giggs,52
1995-1996,21,Man Utd,QPR,2:1,QPR,Danny Dichio,68
1995-1996,21,Nottm Forest,Middlesbrough,1:0,Nottm Forest,Stuart Pearce,8
1995-1996,21,Southampton,Man City,1:1,Southampton,Neil Shipperley,65
1995-1996,21,Southampton,Man City,1:1,Man City,Uwe Rosler,84
1995-1996,21,West Ham,Newcastle,2:0,West Ham,Daniel Williamson,7
1995-1996,21,West Ham,Newcastle,2:0,West Ham,Tony Cottee,82
1995-1996,21,Aston Villa,Sheff Wed,3:2,Sheff Wed,Regi Blinker,8
1995-1996,21,Aston Villa,Sheff Wed,3:2,Aston Villa,Savo Milosevic,61
1995-1996,21,Aston Villa,Sheff Wed,3:2,Aston Villa,Savo Milosevic,62
1995-1996,21,Aston Villa,Sheff Wed,3:2,Sheff Wed,Regi Blinker,63
1995-1996,21,Aston Villa,Sheff Wed,3:2,Aston Villa,Andy Townsend,75
1995-1996,22,Coventry,Southampton,1:1,Southampton,Neil Heaney,64
1995-1996,22,Coventry,Southampton,1:1,Coventry,Noel Whelan,83
1995-1996,22,Liverpool,Nottm Forest,4:2,Nottm Forest,Steve Stone,13
1995-1996,22,Liverpool,Nottm Forest,4:2,Nottm Forest,Ian Woan,18
1995-1996,22,Liverpool,Nottm Forest,4:2,Liverpool,Robbie Fowler,21
1995-1996,22,Liverpool,Nottm Forest,4:2,Liverpool,Robbie Fowler,31
1995-1996,22,Liverpool,Nottm Forest,4:2,Liverpool,Stan Collymore,62
1995-1996,22,Liverpool,Nottm Forest,4:2,Liverpool,Colin Cooper,86
1995-1996,22,Man City,West Ham,2:1,Man City,Niall Quinn,21
1995-1996,22,Man City,West Ham,2:1,West Ham,Iain Dowie,75
1995-1996,22,Man City,West Ham,2:1,Man City,Niall Quinn,78
1995-1996,22,Middlesbrough,Aston Villa,0:2,Aston Villa,Alan Wright,21
1995-1996,22,Middlesbrough,Aston Villa,0:2,Aston Villa,Tommy Johnson,40
1995-1996,22,Sheff Wed,Bolton,4:2,Sheff Wed,Darko Kovacevic,21
1995-1996,22,Sheff Wed,Bolton,4:2,Sheff Wed,Darko Kovacevic,45
1995-1996,22,Sheff Wed,Bolton,4:2,Bolton,Sasa Curcic,51
1995-1996,22,Sheff Wed,Bolton,4:2,Sheff Wed,David Hirst,53
1995-1996,22,Sheff Wed,Bolton,4:2,Sheff Wed,David Hirst,60
1995-1996,22,Sheff Wed,Bolton,4:2,Bolton,Gerry Taggart,77
1995-1996,22,Spurs,Man Utd,4:1,Spurs,Teddy Sheringham,35
1995-1996,22,Spurs,Man Utd,4:1,Man Utd,Andy Cole,36
1995-1996,22,Spurs,Man Utd,4:1,Spurs,Sol Campbell,45
1995-1996,22,Spurs,Man Utd,4:1,Spurs,Chris Armstrong,47
1995-1996,22,Spurs,Man Utd,4:1,Spurs,Chris Armstrong,66
1995-1996,22,Wimbledon FC,Everton,2:3,Everton,John Ebbrell,1
1995-1996,22,Wimbledon FC,Everton,2:3,Everton,Duncan Ferguson,23
1995-1996,22,Wimbledon FC,Everton,2:3,Everton,Duncan Ferguson,25
1995-1996,22,Wimbledon FC,Everton,2:3,Wimbledon FC,Dean Holdsworth,55
1995-1996,22,Wimbledon FC,Everton,2:3,Wimbledon FC,Efan Ekoku,72
1995-1996,22,Newcastle,Arsenal,2:0,Newcastle,David Ginola,1
1995-1996,22,Newcastle,Arsenal,2:0,Newcastle,Les Ferdinand,47
1995-1996,22,QPR,Chelsea,1:2,QPR,Bradley Allen,70
1995-1996,22,QPR,Chelsea,1:2,Chelsea,Matt Brazier,77
1995-1996,22,QPR,Chelsea,1:2,Chelsea,Paul Furlong,90
1995-1996,23,Middlesbrough,Arsenal,2:3,Arsenal,Paul Merson,7
1995-1996,23,Middlesbrough,Arsenal,2:3,Middlesbrough,Juninho Paulista,38
1995-1996,23,Middlesbrough,Arsenal,2:3,Middlesbrough,Phil Stamp,56
1995-1996,23,Middlesbrough,Arsenal,2:3,Arsenal,David Platt,59
1995-1996,23,Middlesbrough,Arsenal,2:3,Arsenal,Glenn Helder,62
1995-1996,23,QPR,Blackburn,0:1,Blackburn,Alan Shearer,77
1995-1996,23,Everton,Chelsea,1:1,Chelsea,John Spencer,20
1995-1996,23,Everton,Chelsea,1:1,Everton,David Unsworth,36
1995-1996,23,Sheff Wed,Liverpool,1:1,Sheff Wed,Darko Kovacevic,7
1995-1996,23,Sheff Wed,Liverpool,1:1,Liverpool,Ian Rush,87
1995-1996,23,Spurs,Man City,1:0,Spurs,Chris Armstrong,66
1995-1996,23,Nottm Forest,Southampton,1:0,Nottm Forest,Colin Cooper,44
1995-1996,23,Leeds,West Ham,2:0,Leeds,Tomas Brolin,25
1995-1996,23,Leeds,West Ham,2:0,Leeds,Tomas Brolin,63
1995-1996,23,Bolton,Wimbledon FC,1:0,Bolton,John McGinlay,43
1995-1996,23,Coventry,Newcastle,0:1,Newcastle,Steve Watson,44
1995-1996,24,Newcastle,Bolton,2:1,Newcastle,Paul Kitson,9
1995-1996,24,Newcastle,Bolton,2:1,Bolton,Gudni Bergsson,19
1995-1996,24,Newcastle,Bolton,2:1,Newcastle,Peter Beardsley,37
1995-1996,24,Liverpool,Leeds,5:0,Liverpool,Neil Ruddock,27
1995-1996,24,Liverpool,Leeds,5:0,Liverpool,Robbie Fowler,62
1995-1996,24,Liverpool,Leeds,5:0,Liverpool,Robbie Fowler,68
1995-1996,24,Liverpool,Leeds,5:0,Liverpool,Stan Collymore,89
1995-1996,24,Liverpool,Leeds,5:0,Liverpool,Neil Ruddock,90
1995-1996,24,Southampton,Middlesbrough,2:1,Middlesbrough,Nick Barmby,44
1995-1996,24,Southampton,Middlesbrough,2:1,Southampton,Neil Shipperley,64
1995-1996,24,Southampton,Middlesbrough,2:1,Southampton,Richard Hall,71
1995-1996,24,Man City,Coventry,1:1,Man City,Uwe Rosler,55
1995-1996,24,Man City,Coventry,1:1,Coventry,Dion Dublin,66
1995-1996,24,Arsenal,Everton,1:2,Arsenal,Ian Wright,38
1995-1996,24,Arsenal,Everton,1:2,Everton,Graham Stuart,50
1995-1996,24,Arsenal,Everton,1:2,Everton,Andrey Kanchelskis,83
1995-1996,24,Chelsea,Nottm Forest,1:0,Chelsea,John Spencer,55
1995-1996,24,Wimbledon FC,QPR,2:1,Wimbledon FC,Oyvind Leonhardsen,40
1995-1996,24,Wimbledon FC,QPR,2:1,QPR,Mark Hateley,57
1995-1996,24,Wimbledon FC,QPR,2:1,Wimbledon FC,Andy Clarke,74
1995-1996,24,Blackburn,Sheff Wed,3:0,Blackburn,Alan Shearer,28
1995-1996,24,Blackburn,Sheff Wed,3:0,Blackburn,Lars Bohinen,31
1995-1996,24,Blackburn,Sheff Wed,3:0,Blackburn,Kevin Gallacher,85
1995-1996,24,Aston Villa,Spurs,2:1,Aston Villa,Paul McGrath,22
1995-1996,24,Aston Villa,Spurs,2:1,Spurs,Ruel Fox,25
1995-1996,24,Aston Villa,Spurs,2:1,Aston Villa,Dwight Yorke,79
1995-1996,24,West Ham,Man Utd,0:1,Man Utd,Eric Cantona,8
1995-1996,25,Blackburn,Bolton,3:1,Blackburn,Alan Shearer,12
1995-1996,25,Blackburn,Bolton,3:1,Bolton,Scott Green,28
1995-1996,25,Blackburn,Bolton,3:1,Blackburn,Alan Shearer,83
1995-1996,25,Blackburn,Bolton,3:1,Blackburn,Alan Shearer,89
1995-1996,25,Arsenal,Coventry,1:1,Coventry,Noel Whelan,23
1995-1996,25,Arsenal,Coventry,1:1,Arsenal,Dennis Bergkamp,24
1995-1996,25,Southampton,Everton,2:2,Southampton,Gordon Watson,46
1995-1996,25,Southampton,Everton,2:2,Everton,Graham Stuart,52
1995-1996,25,Southampton,Everton,2:2,Everton,Barry Horne,56
1995-1996,25,Southampton,Everton,2:2,Southampton,Jim Magilton,77
1995-1996,25,Aston Villa,Leeds,3:0,Aston Villa,Dwight Yorke,11
1995-1996,25,Aston Villa,Leeds,3:0,Aston Villa,Dwight Yorke,23
1995-1996,25,Aston Villa,Leeds,3:0,Aston Villa,Alan Wright,61
1995-1996,25,Wimbledon FC,Man Utd,2:4,Man Utd,Andy Cole,41
1995-1996,25,Wimbledon FC,Man Utd,2:4,Man Utd,Chris Perry,45
1995-1996,25,Wimbledon FC,Man Utd,2:4,Wimbledon FC,Marcus Gayle,68
1995-1996,25,Wimbledon FC,Man Utd,2:4,Man Utd,Eric Cantona,70
1995-1996,25,Wimbledon FC,Man Utd,2:4,Wimbledon FC,Jason Euell,76
1995-1996,25,Wimbledon FC,Man Utd,2:4,Man Utd,Eric Cantona,80
1995-1996,25,West Ham,Nottm Forest,1:0,West Ham,Robbie Slater,19
1995-1996,25,Man City,QPR,2:0,Man City,Nigel Clough,26
1995-1996,25,Man City,QPR,2:0,Man City,Kit Symons,50
1995-1996,25,Newcastle,Sheff Wed,2:0,Newcastle,Les Ferdinand,54
1995-1996,25,Newcastle,Sheff Wed,2:0,Newcastle,Lee Clark,90
1995-1996,25,Chelsea,Middlesbrough,5:0,Chelsea,Gavin Peacock,29
1995-1996,25,Chelsea,Middlesbrough,5:0,Chelsea,John Spencer,31
1995-1996,25,Chelsea,Middlesbrough,5:0,Chelsea,Gavin Peacock,38
1995-1996,25,Chelsea,Middlesbrough,5:0,Chelsea,Paul Furlong,52
1995-1996,25,Chelsea,Middlesbrough,5:0,Chelsea,Gavin Peacock,55
1995-1996,26,Nottm Forest,Arsenal,0:1,Arsenal,Dennis Bergkamp,60
1995-1996,26,Man Utd,Blackburn,1:0,Man Utd,Lee Sharpe,15
1995-1996,26,Sheff Wed,Wimbledon FC,2:1,Sheff Wed,Marc Degryse,50
1995-1996,26,Sheff Wed,Wimbledon FC,2:1,Wimbledon FC,Marcus Gayle,61
1995-1996,26,Sheff Wed,Wimbledon FC,2:1,Sheff Wed,Julian Watts,85
1995-1996,26,Bolton,Aston Villa,0:2,Aston Villa,Dwight Yorke,39
1995-1996,26,Bolton,Aston Villa,0:2,Aston Villa,Dwight Yorke,53
1995-1996,26,Coventry,Chelsea,1:0,Coventry,Noel Whelan,43
1995-1996,26,Everton,Man City,2:0,Everton,Joe Parkinson,33
1995-1996,26,Everton,Man City,2:0,Everton,Andy Hinchcliffe,47
1995-1996,26,Middlesbrough,Newcastle,1:2,Middlesbrough,John Beresford,36
1995-1996,26,Middlesbrough,Newcastle,1:2,Newcastle,Steve Watson,73
1995-1996,26,Middlesbrough,Newcastle,1:2,Newcastle,Les Ferdinand,78
1995-1996,26,QPR,Liverpool,1:2,Liverpool,Mark Wright,16
1995-1996,26,QPR,Liverpool,1:2,Liverpool,Robbie Fowler,31
1995-1996,26,QPR,Liverpool,1:2,QPR,Danny Dichio,66
1995-1996,26,Spurs,West Ham,0:1,West Ham,Dani,5
1995-1996,26,Leeds,Southampton,1:0,Leeds,Brian Deane,73
1995-1996,27,Chelsea,West Ham,1:2,Chelsea,Gavin Peacock,10
1995-1996,27,Chelsea,West Ham,1:2,West Ham,Julian Dicks,62
1995-1996,27,Chelsea,West Ham,1:2,West Ham,Daniel Williamson,72
1995-1996,27,Sheff Wed,QPR,1:3,Sheff Wed,Graham Hyde,22
1995-1996,27,Sheff Wed,QPR,1:3,QPR,Simon Barker,32
1995-1996,27,Sheff Wed,QPR,1:3,QPR,Simon Barker,36
1995-1996,27,Sheff Wed,QPR,1:3,QPR,Greg Goodridge,87
1995-1996,27,Middlesbrough,Bolton,1:4,Bolton,Nathan Blake,12
1995-1996,27,Middlesbrough,Bolton,1:4,Middlesbrough,Jamie Pollock,36
1995-1996,27,Middlesbrough,Bolton,1:4,Bolton,Simon Coleman,45
1995-1996,27,Middlesbrough,Bolton,1:4,Bolton,Fabian De Freitas,62
1995-1996,27,Middlesbrough,Bolton,1:4,Bolton,David Lee,72
1995-1996,27,Man Utd,Everton,2:0,Man Utd,Roy Keane,30
1995-1996,27,Man Utd,Everton,2:0,Man Utd,Ryan Giggs,83
1995-1996,27,Aston Villa,Blackburn,2:0,Aston Villa,Julian Joachim,55
1995-1996,27,Aston Villa,Blackburn,2:0,Aston Villa,Gareth Southgate,71
1995-1996,27,Arsenal,Man City,3:1,Arsenal,John Hartson,29
1995-1996,27,Arsenal,Man City,3:1,Arsenal,Lee Dixon,41
1995-1996,27,Arsenal,Man City,3:1,Man City,Gerry Creaney,54
1995-1996,27,Arsenal,Man City,3:1,Arsenal,John Hartson,55
1995-1996,27,Liverpool,Wimbledon FC,2:2,Liverpool,Steve McManaman,35
1995-1996,27,Liverpool,Wimbledon FC,2:2,Wimbledon FC,Efan Ekoku,54
1995-1996,27,Liverpool,Wimbledon FC,2:2,Wimbledon FC,Dean Holdsworth,60
1995-1996,27,Liverpool,Wimbledon FC,2:2,Liverpool,Stan Collymore,68
1995-1996,27,Newcastle,Southampton,1:0,Newcastle,Rob Lee,10
1995-1996,27,Leeds,Spurs,1:3,Leeds,David Wetherall,13
1995-1996,27,Leeds,Spurs,1:3,Spurs,Chris Armstrong,18
1995-1996,27,Leeds,Spurs,1:3,Spurs,Darren Anderton,24
1995-1996,27,Leeds,Spurs,1:3,Spurs,Darren Anderton,66
1995-1996,28,West Ham,Arsenal,0:1,Arsenal,John Hartson,2
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Wimbledon FC,Jon Goodman,10
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Aston Villa,Alan Reeves,33
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Wimbledon FC,Jon Goodman,47
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Aston Villa,Dwight Yorke,49
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Aston Villa,Kenny Cunningham,58
1995-1996,28,Wimbledon FC,Aston Villa,3:3,Wimbledon FC,Mick Harford,90
1995-1996,28,Southampton,Chelsea,2:3,Southampton,Tommy Widdrington,6
1995-1996,28,Southampton,Chelsea,2:3,Chelsea,Dennis Wise,20
1995-1996,28,Southampton,Chelsea,2:3,Chelsea,Dennis Wise,27
1995-1996,28,Southampton,Chelsea,2:3,Southampton,Steve Clarke,38
1995-1996,28,Southampton,Chelsea,2:3,Chelsea,Ruud Gullit,53
1995-1996,28,Blackburn,Liverpool,2:3,Liverpool,Stan Collymore,11
1995-1996,28,Blackburn,Liverpool,2:3,Liverpool,Stan Collymore,21
1995-1996,28,Blackburn,Liverpool,2:3,Blackburn,Jason Wilcox,25
1995-1996,28,Blackburn,Liverpool,2:3,Liverpool,Michael Thomas,70
1995-1996,28,Blackburn,Liverpool,2:3,Blackburn,Tim Sherwood,83
1995-1996,28,Man City,Newcastle,3:3,Man City,Niall Quinn,16
1995-1996,28,Man City,Newcastle,3:3,Newcastle,Philippe Albert,44
1995-1996,28,Man City,Newcastle,3:3,Man City,Niall Quinn,62
1995-1996,28,Man City,Newcastle,3:3,Newcastle,Faustino Asprilla,70
1995-1996,28,Man City,Newcastle,3:3,Man City,Uwe Rosler,76
1995-1996,28,Man City,Newcastle,3:3,Newcastle,Philippe Albert,81
1995-1996,28,Everton,Nottm Forest,3:0,Everton,Andrey Kanchelskis,52
1995-1996,28,Everton,Nottm Forest,3:0,Everton,Dave Watson,56
1995-1996,28,Everton,Nottm Forest,3:0,Everton,Duncan Ferguson,60
1995-1996,28,Spurs,Sheff Wed,1:0,Spurs,Chris Armstrong,31
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,David Beckham,5
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,Steve Bruce,15
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,Andy Cole,70
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,Paul Scholes,76
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,Paul Scholes,78
1995-1996,28,Bolton,Man Utd,0:6,Man Utd,Nicky Butt,90
1995-1996,28,QPR,Leeds,1:2,Leeds,Anthony Yeboah,10
1995-1996,28,QPR,Leeds,1:2,Leeds,Anthony Yeboah,25
1995-1996,28,QPR,Leeds,1:2,QPR,Kevin Gallen,30
1995-1996,29,QPR,Arsenal,1:1,QPR,Kevin Gallen,19
1995-1996,29,QPR,Arsenal,1:1,Arsenal,Dennis Bergkamp,49
1995-1996,29,Liverpool,Aston Villa,3:0,Liverpool,Steve McManaman,2
1995-1996,29,Liverpool,Aston Villa,3:0,Liverpool,Robbie Fowler,5
1995-1996,29,Liverpool,Aston Villa,3:0,Liverpool,Robbie Fowler,8
1995-1996,29,Man City,Blackburn,1:1,Blackburn,Alan Shearer,57
1995-1996,29,Man City,Blackburn,1:1,Man City,Steve Lomas,84
1995-1996,29,Leeds,Bolton,0:1,Bolton,Gudni Bergsson,16
1995-1996,29,Wimbledon FC,Chelsea,1:1,Chelsea,Paul Furlong,35
1995-1996,29,Wimbledon FC,Chelsea,1:1,Wimbledon FC,Steve Clarke,37
1995-1996,29,Middlesbrough,Everton,0:2,Everton,Tony Grant,28
1995-1996,29,Middlesbrough,Everton,0:2,Everton,Andy Hinchcliffe,44
1995-1996,29,Sheff Wed,Nottm Forest,1:3,Nottm Forest,Bobby Howe,10
1995-1996,29,Sheff Wed,Nottm Forest,1:3,Nottm Forest,Paul Anthony McGregor,46
1995-1996,29,Sheff Wed,Nottm Forest,1:3,Sheff Wed,Darko Kovacevic,50
1995-1996,29,Sheff Wed,Nottm Forest,1:3,Nottm Forest,Bryan Roy,80
1995-1996,29,Spurs,Southampton,1:0,Spurs,Jason Dozzell,63
1995-1996,29,Coventry,West Ham,2:2,West Ham,Tony Cottee,2
1995-1996,29,Coventry,West Ham,2:2,Coventry,John Salako,7
1995-1996,29,Coventry,West Ham,2:2,Coventry,Noel Whelan,15
1995-1996,29,Coventry,West Ham,2:2,West Ham,Marc Rieper,22
1995-1996,29,Newcastle,Man Utd,0:1,Man Utd,Eric Cantona,51
1995-1996,30,Everton,Coventry,2:2,Everton,Duncan Ferguson,17
1995-1996,30,Everton,Coventry,2:2,Everton,Duncan Ferguson,25
1995-1996,30,Everton,Coventry,2:2,Coventry,Liam Daish,37
1995-1996,30,Everton,Coventry,2:2,Coventry,Paul Williams,85
1995-1996,30,West Ham,Middlesbrough,2:0,West Ham,Iain Dowie,1
1995-1996,30,West Ham,Middlesbrough,2:0,West Ham,Julian Dicks,60
1995-1996,30,Aston Villa,QPR,4:2,Aston Villa,Savo Milosevic,18
1995-1996,30,Aston Villa,QPR,4:2,QPR,Danny Dichio,50
1995-1996,30,Aston Villa,QPR,4:2,QPR,Kevin Gallen,59
1995-1996,30,Aston Villa,QPR,4:2,Aston Villa,Dwight Yorke,64
1995-1996,30,Aston Villa,QPR,4:2,Aston Villa,Dwight Yorke,80
